Provinces,Number of Income Recipients,Total Income,Average Total Income
Alberta,27675.0,683798945.0,24708.182294489612
British Columbia,48430.0,1606988575.0,33181.676130497624
Manitoba,35330.0,681198920.0,19281.03368242287
New Brunswick,4845.0,113983730.0,23526.053663570692
Newfoundland and Labrador,1840.0,67024940.0,36426.59782608696
Northwest Territories,220.0,7027020.0,31941.0
Nova Scotia,5635.0,116634070.0,20698.149068322982
Ontario,33740.0,828924605.0,24568.008446947242
Prince Edward Island,225.0,7326900.0,32564.0
Quebec,16595.0,444637155.0,26793.441096715876
Saskatchewan,29705.0,604456145.0,20348.633058407675
