Provinces,"Population, 2016","Population, 2011",Growth Rate,"Population %, 0 to 14y","Population %, 14 to 65y","Population %, over 65y"
Alberta,51841.0,48409.0,7.0895907785742285,33.54,60.81,5.65
British Columbia,80026.0,76343.0,4.8242798946858345,17.83,61.63,20.54
Manitoba,64158.0,62800.0,2.1624203821656085,35.53,59.64,4.83
New Brunswick,8163.0,7855.0,3.9210693825588727,25.73,66.78,7.5
Newfoundland and Labrador,2915.0,3165.0,-7.898894154818326,31.82,64.23,3.95
Northwest Territories,309.0,292.0,5.821917808219168,24.67,67.11,8.22
Nova Scotia,10055.0,9637.0,4.337449413717964,29.88,63.91,6.21
Ontario,57522.0,54568.0,5.413429115965407,27.51,63.65,8.84
Prince Edward Island,596.0,514.0,15.95330739299612,28.57,67.07,4.36
Quebec,25779.0,23227.0,10.98721315710165,28.34,62.95,8.72
Saskatchewan,56050.0,56222.0,-0.3059300629646766,35.29,59.65,5.06
