,Provinces,"Population, 2016","Population, 2011","Population %, 0 to 14y","Population %, 14 to 65y","Population %, over 65y"
0,Canada,35151728.0,35151728.0,16.6,66.5,16.9
1,Newfoundland and Labrador,519716.0,519716.0,14.3,66.2,19.4
2,Prince Edward Island,142907.0,142907.0,15.9,64.7,19.4
3,Nova Scotia,923598.0,923598.0,14.5,65.6,19.9
4,New Brunswick,747101.0,747101.0,14.8,65.3,19.9
5,Quebec,8164361.0,8164361.0,16.3,65.4,18.3
6,Ontario,13448494.0,13448494.0,16.4,66.8,16.7
7,Manitoba,1278365.0,1278365.0,19.1,65.4,15.6
8,Saskatchewan,1098352.0,1098352.0,19.6,64.8,15.5
9,Alberta,4067175.0,4067175.0,19.2,68.5,12.3
10,British Columbia,4648055.0,4648055.0,14.9,66.9,18.3
11,Yukon,35874.0,35874.0,17.5,70.6,11.9
12,Northwest Territories,41786.0,41786.0,21.2,71.1,7.7
13,Nunavut,35944.0,35944.0,32.5,63.7,3.8
