Province Code,Community Type / Type de collectivité 2011,1981,1996,2001,2006,2011
10,Non-Aboriginal Communities,64.74606029576933,70.18835148999649,72.52527068414855,76.32782461776165,79.31223286055253
11,First Nations Communities,54.0,62.0,63.0,71.0,68.0
11,Non-Aboriginal Communities,64.93486506990354,71.17778122644438,73.11420985698668,77.36461143940238,79.63691802245775
12,First Nations Communities,47.13747333491349,55.83888070692194,57.64445964432284,60.09360313315927,62.16585143897168
12,Non-Aboriginal Communities,66.7653602290056,71.6385677176183,73.90076947614935,77.32175176454294,78.77024911444717
13,First Nations Communities,47.373456790123456,58.357563850687626,56.77784233972497,62.15511434142883,60.3428377460964
13,Non-Aboriginal Communities,67.67210366259796,73.55642648410672,75.70541000125961,78.85422362135145,80.67121790112847
24,Non-Aboriginal Communities,76.0,69.0,69.0,72.0,78.0
35,First Nations Communities,50.88390501319261,60.297069915868875,63.00295937584073,66.75525124753395,67.02674988854213
35,Non-Aboriginal Communities,74.9858063165094,79.10598367615012,81.49783572349202,83.81254118598602,84.17715035555092
46,First Nations Communities,41.41306889728369,47.3657408704913,48.912271395372336,47.259864208567905,46.321574587409295
46,Non-Aboriginal Communities,72.97953943517956,76.13291651019236,78.5602566905037,80.98957168857105,82.338943537677
47,First Nations Communities,40.16968142548596,46.473664409330325,48.413137722144064,47.967152434447236,49.901811075510714
47,Non-Aboriginal Communities,72.84092042930364,76.57612741915507,78.39582832535491,81.69401770341936,83.96713714141534
48,First Nations Communities,46.58593677142591,49.020317283607014,49.30529407837639,52.10460277427491,50.595311961392625
48,Non-Aboriginal Communities,77.23482686456101,79.22281070237779,81.59837790659765,85.20564580470881,86.70875227116821
59,First Nations Communities,58.19831270466781,66.68834188034188,67.01262766339283,68.68289063659297,70.99797465582834
59,Non-Aboriginal Communities,76.43432115241198,78.91040593953092,80.4360137596857,83.29762076708587,84.00976781915301
60,First Nations Communities,77.0,76.0,79.0,80.0,83.0
60,Non-Aboriginal Communities,78.69169783931662,81.39959467794519,82.51467446828272,84.53767138193689,86.53234140087798
61,First Nations Communities,32.0,57.0,63.0,65.0,64.0
61,Non-Aboriginal Communities,81.0,84.0,86.0,88.0,88.0
